event_id,tournament_id,dates,tournament,location,host,status,event_detail_file,full_player_url,full_team_url
28122,29330,Nov 01 - Nov 03 2024,The Elite Invitational,"Marsh Landing Country Club - Ponte Vedra Beach, FL",The Elite Invitational,Started,raw/junior_event_pages/event_28122.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29330,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29330
28252,29467,Dec 16 - Dec 18 2025,The Elite Invitational Boys,"Ponte Vedra Inn & Club - Ocean Course - Ponte Vedra Beach, FL",The Elite Invitational,Started,raw/junior_event_pages/event_28252.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29467,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29467
28253,29468,Dec 16 - Dec 18 2025,The Elite Invitational Girls,"Ponte Vedra Inn & Club - Ocean Course - Ponte Vedra Beach, FL",The Elite Invitational,Started,raw/junior_event_pages/event_28253.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29468,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29468
