type_code,event_id,dates,event,url
I,12227,Apr 20 - Apr 22 2017,Junior Invitational at Sage Valley,https://score.golfstat.com/eventlist.cfm?type=I&eventid=12227
I,12194,Apr 13 - Apr 15 2017,Palmetto High School Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=12194
I,11816,Feb 24 - Feb 26 2017,Dustin Johnson,https://score.golfstat.com/eventlist.cfm?type=I&eventid=11816
I,11734,Jan 27 - Jan 30 2017,Junior Orange Bowl International Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=11734
I,10571,Oct 25 - Nov 02 2016,Florida High School State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=10571
I,10570,Oct 10 - Oct 11 2016,Wisconsin State Girls Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=10570
I,9751,Jun 06 - Jun 07 2016,2016 Wisconsin Boys State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=9751
I,9128,Jun 05 - Jun 06 2016,NYSPHSAA State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=9128
I,9623,May 16 - May 17 2016,OSAA-US Bank-Les Schwab Tires State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=9623
I,9517,Apr 21 - Apr 23 2016,Sage Valley Junior Invitational,https://score.golfstat.com/eventlist.cfm?type=I&eventid=9517
I,9448,Mar 24 - Mar 26 2016,Palmetto High School Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=9448
I,9301,Feb 13 - Feb 15 2016,Dustin Johnson World Junior,https://score.golfstat.com/eventlist.cfm?type=I&eventid=9301
I,9186,Jan 08 - Jan 31 2016,Oregon HS Test,https://score.golfstat.com/eventlist.cfm?type=I&eventid=9186
I,9119,Dec 27 - Dec 30 2015,Junior Orange Bowl International Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=9119
I,8145,Oct 12 - Oct 13 2015,Wisconsin State Girls Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=8145
I,7344,Jun 08 - Jun 09 2015,Connecticut State Championships,https://score.golfstat.com/eventlist.cfm?type=I&eventid=7344
I,7117,Jun 08 - Jun 09 2015,2015 Wisonsin Boys State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=7117
I,7342,May 23 - May 24 2015,UGA Golf Course Junior Classic,https://score.golfstat.com/eventlist.cfm?type=I&eventid=7342
I,7130,May 18 - May 18 2015,2015 GHSA State Golf Champions presented by E-Z-Go,https://score.golfstat.com/eventlist.cfm?type=I&eventid=7130
