tournament_id,event,dates,board_type,label,position,name,score,source_file
29417,2025 WIAA Boys Championship - D1,Jun 8 - Jun 10 2025,player,Individual Leaders,T1,Drake Card,-4,raw/miniboards/pleaderboard_29417.html
29417,2025 WIAA Boys Championship - D1,Jun 8 - Jun 10 2025,player,Individual Leaders,3,Kade Wieland,-2,raw/miniboards/pleaderboard_29417.html
29417,2025 WIAA Boys Championship - D1,Jun 8 - Jun 10 2025,player,Individual Leaders,4,Owen Kuepper,-1,raw/miniboards/pleaderboard_29417.html
29417,2025 WIAA Boys Championship - D1,Jun 8 - Jun 10 2025,player,Individual Leaders,T5,Lincoln Hottmann,+1,raw/miniboards/pleaderboard_29417.html
29417,2025 WIAA Boys Championship - D1,Jun 8 - Jun 10 2025,player,Individual Leaders,T5,Creede Neuberger,+1,raw/miniboards/pleaderboard_29417.html
29417,2025 WIAA Boys Championship - D1,Jun 8 - Jun 10 2025,player,Individual Leaders,T5,Hayes Packee,+1,raw/miniboards/pleaderboard_29417.html
29417,2025 WIAA Boys Championship - D1,Jun 8 - Jun 10 2025,player,Individual Leaders,T5,Sam Swavely,+1,raw/miniboards/pleaderboard_29417.html
29417,2025 WIAA Boys Championship - D1,Jun 8 - Jun 10 2025,player,Individual Leaders,9,Alex Kim,+2,raw/miniboards/pleaderboard_29417.html
29417,2025 WIAA Boys Championship - D1,Jun 8 - Jun 10 2025,player,Individual Leaders,10,Russell Harder,+3,raw/miniboards/pleaderboard_29417.html
29418,2025 WIAA Boys Championship - D2,Jun 8 - Jun 10 2025,player,Individual Leaders,T1,Kian Bystol Flores,+3,raw/miniboards/pleaderboard_29418.html
29418,2025 WIAA Boys Championship - D2,Jun 8 - Jun 10 2025,player,Individual Leaders,T1,Vince Sigl,+3,raw/miniboards/pleaderboard_29418.html
29418,2025 WIAA Boys Championship - D2,Jun 8 - Jun 10 2025,player,Individual Leaders,3,Fritz Knudtson,+6,raw/miniboards/pleaderboard_29418.html
29418,2025 WIAA Boys Championship - D2,Jun 8 - Jun 10 2025,player,Individual Leaders,4,Tyler Short,+7,raw/miniboards/pleaderboard_29418.html
29418,2025 WIAA Boys Championship - D2,Jun 8 - Jun 10 2025,player,Individual Leaders,5,Tyler Reiter,+8,raw/miniboards/pleaderboard_29418.html
29418,2025 WIAA Boys Championship - D2,Jun 8 - Jun 10 2025,player,Individual Leaders,T6,Elliot Skinner,+10,raw/miniboards/pleaderboard_29418.html
29418,2025 WIAA Boys Championship - D2,Jun 8 - Jun 10 2025,player,Individual Leaders,T6,Jackson Albee,+10,raw/miniboards/pleaderboard_29418.html
29418,2025 WIAA Boys Championship - D2,Jun 8 - Jun 10 2025,player,Individual Leaders,8,Jack Nelson,+11,raw/miniboards/pleaderboard_29418.html
29418,2025 WIAA Boys Championship - D2,Jun 8 - Jun 10 2025,player,Individual Leaders,T9,Collin Draeger,+12,raw/miniboards/pleaderboard_29418.html
29418,2025 WIAA Boys Championship - D2,Jun 8 - Jun 10 2025,player,Individual Leaders,T9,Sullivan Mellowes,+12,raw/miniboards/pleaderboard_29418.html
29422,2025 WIAA Boys Championship - D3,Jun 8 - Jun 10 2025,player,Individual Leaders,1,Tucker Johnson,+8,raw/miniboards/pleaderboard_29422.html
29422,2025 WIAA Boys Championship - D3,Jun 8 - Jun 10 2025,player,Individual Leaders,2,Troy Pudenz,+10,raw/miniboards/pleaderboard_29422.html
29422,2025 WIAA Boys Championship - D3,Jun 8 - Jun 10 2025,player,Individual Leaders,T3,Simon Cole,+12,raw/miniboards/pleaderboard_29422.html
29422,2025 WIAA Boys Championship - D3,Jun 8 - Jun 10 2025,player,Individual Leaders,T3,Oliver Leibham,+12,raw/miniboards/pleaderboard_29422.html
29422,2025 WIAA Boys Championship - D3,Jun 8 - Jun 10 2025,player,Individual Leaders,5,Matti Heikkinen,+13,raw/miniboards/pleaderboard_29422.html
29422,2025 WIAA Boys Championship - D3,Jun 8 - Jun 10 2025,player,Individual Leaders,6,Cameron Lipinski,+14,raw/miniboards/pleaderboard_29422.html
29422,2025 WIAA Boys Championship - D3,Jun 8 - Jun 10 2025,player,Individual Leaders,7,Carter Koch,+15,raw/miniboards/pleaderboard_29422.html
29422,2025 WIAA Boys Championship - D3,Jun 8 - Jun 10 2025,player,Individual Leaders,8,Aaron Federwisch,+16,raw/miniboards/pleaderboard_29422.html
29422,2025 WIAA Boys Championship - D3,Jun 8 - Jun 10 2025,player,Individual Leaders,T9,Ben Baker,+17,raw/miniboards/pleaderboard_29422.html
29422,2025 WIAA Boys Championship - D3,Jun 8 - Jun 10 2025,player,Individual Leaders,T9,Bryce Killoren,+17,raw/miniboards/pleaderboard_29422.html
29433,2025 Toyota Junior Golf World Cup - Boys,Jun 24 - Jun 27 2025,player,Individual Leaders,T1,Tomas Restrepo,-19,raw/miniboards/pleaderboard_29433.html
29433,2025 Toyota Junior Golf World Cup - Boys,Jun 24 - Jun 27 2025,player,Individual Leaders,T1,Taisei Nagasaki,-19,raw/miniboards/pleaderboard_29433.html
29433,2025 Toyota Junior Golf World Cup - Boys,Jun 24 - Jun 27 2025,player,Individual Leaders,3,Brooks Simmons,-17,raw/miniboards/pleaderboard_29433.html
29433,2025 Toyota Junior Golf World Cup - Boys,Jun 24 - Jun 27 2025,player,Individual Leaders,4,Tom De Herrypon,-14,raw/miniboards/pleaderboard_29433.html
29433,2025 Toyota Junior Golf World Cup - Boys,Jun 24 - Jun 27 2025,player,Individual Leaders,5,Lorenzo Rodriguez,-12,raw/miniboards/pleaderboard_29433.html
29433,2025 Toyota Junior Golf World Cup - Boys,Jun 24 - Jun 27 2025,player,Individual Leaders,T6,Minsu Kim,-11,raw/miniboards/pleaderboard_29433.html
29433,2025 Toyota Junior Golf World Cup - Boys,Jun 24 - Jun 27 2025,player,Individual Leaders,T6,Koshin Nagasaki,-11,raw/miniboards/pleaderboard_29433.html
29433,2025 Toyota Junior Golf World Cup - Boys,Jun 24 - Jun 27 2025,player,Individual Leaders,8,Jager Pain,-10,raw/miniboards/pleaderboard_29433.html
29433,2025 Toyota Junior Golf World Cup - Boys,Jun 24 - Jun 27 2025,player,Individual Leaders,9,Mao Matsuyama,-9,raw/miniboards/pleaderboard_29433.html
29433,2025 Toyota Junior Golf World Cup - Boys,Jun 24 - Jun 27 2025,player,Individual Leaders,T10,Robby Turnbull,-8,raw/miniboards/pleaderboard_29433.html
29434,2025 Toyota Junior Golf World Cup - Girls,Jun 24 - Jun 27 2025,player,Individual Leaders,1,Mamika Shinchi,-13,raw/miniboards/pleaderboard_29434.html
29434,2025 Toyota Junior Golf World Cup - Girls,Jun 24 - Jun 27 2025,player,Individual Leaders,2,Kritchanya Kaopattanaskul,-11,raw/miniboards/pleaderboard_29434.html
29434,2025 Toyota Junior Golf World Cup - Girls,Jun 24 - Jun 27 2025,player,Individual Leaders,3,Shauna Liu,-9,raw/miniboards/pleaderboard_29434.html
29434,2025 Toyota Junior Golf World Cup - Girls,Jun 24 - Jun 27 2025,player,Individual Leaders,4,Anna Iwanaga,-8,raw/miniboards/pleaderboard_29434.html
29434,2025 Toyota Junior Golf World Cup - Girls,Jun 24 - Jun 27 2025,player,Individual Leaders,5,Scarlett Schremmer,-7,raw/miniboards/pleaderboard_29434.html
29434,2025 Toyota Junior Golf World Cup - Girls,Jun 24 - Jun 27 2025,player,Individual Leaders,T6,Nikki Oh,-6,raw/miniboards/pleaderboard_29434.html
29434,2025 Toyota Junior Golf World Cup - Girls,Jun 24 - Jun 27 2025,player,Individual Leaders,T6,Prim Prachnakorn,-6,raw/miniboards/pleaderboard_29434.html
29434,2025 Toyota Junior Golf World Cup - Girls,Jun 24 - Jun 27 2025,player,Individual Leaders,8,Michelle Xing,-5,raw/miniboards/pleaderboard_29434.html
29434,2025 Toyota Junior Golf World Cup - Girls,Jun 24 - Jun 27 2025,player,Individual Leaders,9,Pimpisa Rubrong,-4,raw/miniboards/pleaderboard_29434.html
