type_code,event_id,dates,event,url,year,event_family
I,16498,Jan 03 - Jan 06 2019,Junior Orange Bowl International Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=16498,2019,Junior Orange Bowl
I,16327,Oct 08 - Oct 09 2018,2018 Wisconsin Girls State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=16327,2018,Other
I,14735,Sep 10 - Sep 10 2018,2018 OSAA State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=14735,2018,Other
I,14749,Jun 12 - Jun 15 2018,2018 Toyota Junior World Cup,https://score.golfstat.com/eventlist.cfm?type=I&eventid=14749,2018,Toyota Junior World Cup
I,14748,Jun 04 - Jun 05 2018,2018 Wisconsin Boys State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=14748,2018,Other
I,14624,Apr 14 - Apr 14 2018,Carrol Invitational hosted by Carroll High School,https://score.golfstat.com/eventlist.cfm?type=I&eventid=14624,2018,Other
I,14446,Mar 30 - Mar 31 2018,Palmetto High School Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=14446,2018,Other
I,14195,Dec 27 - Jan 15 2017,Junior Orange Bowl International Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=14195,2017,Junior Orange Bowl
I,13943,Oct 09 - Oct 10 2017,Wisconsin Girls State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=13943,2017,Other
I,13944,Oct 09 - Oct 10 2017,Wisconsin Girls Divison 2 State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=13944,2017,Other
I,12351,Jul 08 - Jul 18 2017,Colllege Golf West Combine,https://score.golfstat.com/eventlist.cfm?type=I&eventid=12351,2017,Other
I,12345,Jun 13 - Jun 16 2017,Toyota Junior World Cup,https://score.golfstat.com/eventlist.cfm?type=I&eventid=12345,2017,Toyota Junior World Cup
I,12340,Jun 05 - Jun 06 2017,2017 Wisconsin Boys State Championships,https://score.golfstat.com/eventlist.cfm?type=I&eventid=12340,2017,Other
I,12338,May 15 - May 16 2017,2017 OSAA State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=12338,2017,Other
I,12227,Apr 20 - Apr 22 2017,Junior Invitational at Sage Valley,https://score.golfstat.com/eventlist.cfm?type=I&eventid=12227,2017,Sage Valley
I,12194,Apr 13 - Apr 15 2017,Palmetto High School Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=12194,2017,Other
I,11816,Feb 24 - Feb 26 2017,Dustin Johnson,https://score.golfstat.com/eventlist.cfm?type=I&eventid=11816,2017,Dustin Johnson World Junior
I,11734,Jan 27 - Jan 30 2017,Junior Orange Bowl International Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=11734,2017,Junior Orange Bowl
I,10571,Oct 25 - Nov 02 2016,Florida High School State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=10571,2016,Other
I,10570,Oct 10 - Oct 11 2016,Wisconsin State Girls Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=10570,2016,Other
I,9751,Jun 06 - Jun 07 2016,2016 Wisconsin Boys State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=9751,2016,Other
I,9128,Jun 05 - Jun 06 2016,NYSPHSAA State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=9128,2016,Other
I,9623,May 16 - May 17 2016,OSAA-US Bank-Les Schwab Tires State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=9623,2016,Other
I,9517,Apr 21 - Apr 23 2016,Sage Valley Junior Invitational,https://score.golfstat.com/eventlist.cfm?type=I&eventid=9517,2016,Sage Valley
I,9448,Mar 24 - Mar 26 2016,Palmetto High School Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=9448,2016,Other
I,9301,Feb 13 - Feb 15 2016,Dustin Johnson World Junior,https://score.golfstat.com/eventlist.cfm?type=I&eventid=9301,2016,Dustin Johnson World Junior
I,9186,Jan 08 - Jan 31 2016,Oregon HS Test,https://score.golfstat.com/eventlist.cfm?type=I&eventid=9186,2016,Other
I,9119,Dec 27 - Dec 30 2015,Junior Orange Bowl International Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=9119,2015,Junior Orange Bowl
I,8145,Oct 12 - Oct 13 2015,Wisconsin State Girls Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=8145,2015,Other
I,7344,Jun 08 - Jun 09 2015,Connecticut State Championships,https://score.golfstat.com/eventlist.cfm?type=I&eventid=7344,2015,Other
I,7117,Jun 08 - Jun 09 2015,2015 Wisonsin Boys State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=7117,2015,Other
I,7342,May 23 - May 24 2015,UGA Golf Course Junior Classic,https://score.golfstat.com/eventlist.cfm?type=I&eventid=7342,2015,Other
I,7130,May 18 - May 18 2015,2015 GHSA State Golf Champions presented by E-Z-Go,https://score.golfstat.com/eventlist.cfm?type=I&eventid=7130,2015,Other
I,7165,May 18 - May 19 2015,OSAA-US Bank-Les Schwab Tires State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=7165,2015,Other
I,7256,Apr 18 - Apr 19 2015,SJGT Kinderlou Forest Junior Classic,https://score.golfstat.com/eventlist.cfm?type=I&eventid=7256,2015,Other
I,6929,Apr 02 - Apr 04 2015,Palmetto High School Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=6929,2015,Other
I,6707,Dec 27 - Dec 30 2014,Junior Orange Bowl International Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=6707,2014,Junior Orange Bowl
I,6698,Dec 06 - Dec 07 2014,SJGT Tournament of Champions - 2014,https://score.golfstat.com/eventlist.cfm?type=I&eventid=6698,2014,Other
I,5419,Oct 13 - Oct 14 2014,Wisconsin Girls State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=5419,2014,Other
I,6351,Oct 09 - Oct 11 2014,Leachman Buick-GMC-Cadillac/KHSAA Boys State Golf,https://score.golfstat.com/eventlist.cfm?type=I&eventid=6351,2014,Other
