tournament_id,event,course,location,dates,position,player,affiliation,to_par,today,r1,r2,r3,r4,total,round_sum,total_delta,source_file
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T22,Nina Lang,Arrowhead,+23,+11,84,83,,,167,167,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T22,McKenna Zignego,Hudson,+23,+11,84,83,,,167,167,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T22,Alana Keevers,Union Grove,+23,+15,80,87,,,167,167,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T26,Jeanne Rohl,Prescott,+24,+10,86,82,,,168,168,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T26,Jayeanna Palm,Holmen,+24,+18,78,90,,,168,168,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T28,Maddy Wilcox,Middleton,+26,+15,83,87,,,170,170,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T28,Sydney Weiss,Middleton,+26,+17,81,89,,,170,170,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",30,Abbie Welch,Brookfield Central,+27,+11,88,83,,,171,171,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T31,E. Zuniga-Meyer…,Brookfield East,+28,+13,87,85,,,172,172,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T31,Taylor LeMire,Appleton North,+28,+20,80,92,,,172,172,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T33,Layla Salay,Prescott,+29,+14,87,86,,,173,173,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T33,Avery Meek,DeForest,+29,+14,87,86,,,173,173,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T33,Delainey Halverson,Oregon,+29,+15,86,87,,,173,173,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T33,Reagan Piacsek,Waukesha S/N/W,+29,+16,85,88,,,173,173,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T37,Grace Knilans,Janesville Parker,+30,+11,91,83,,,174,174,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T37,Addison Johannes,Arrowhead,+30,+15,87,87,,,174,174,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",39,Madelyn Gicius,Bay Port,+31,+17,86,89,,,175,175,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T40,Brinley Goninen,DeForest,+32,+21,83,93,,,176,176,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T40,Lily Gies,Hudson,+32,+22,82,94,,,176,176,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T42,Myah Johnson,Bay Port,+33,+15,90,87,,,177,177,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T42,Isabel Johnsen,Bay Port,+33,+17,88,89,,,177,177,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T42,A Gilroy L Nelson,Arrowhead,+33,+17,88,89,,,177,177,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T42,Brynn Sikich,Janesville Craig,+33,+20,85,92,,,177,177,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T46,Emily Utter,Middleton,+34,+12,94,84,,,178,178,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T46,Tayler Lother,Westosha Central,+34,+19,87,91,,,178,178,0,raw/junior_event_pages/player_29296.html
